timestamp,open,high,low,close,volume
2018-03-02 14:27:00,11.8497,11.8700,11.8497,11.8700,54101
2018-03-02 14:26:00,11.8447,11.8600,11.8415,11.8450,57101
2018-03-02 14:25:00,11.8400,11.8500,11.8300,11.8450,52983
2018-03-02 14:24:00,11.8500,11.8550,11.8350,11.8400,25355
2018-03-02 14:23:00,11.8650,11.8800,11.8500,11.8500,29610
2018-03-02 14:22:00,11.8700,11.8800,11.8650,11.8650,17888
2018-03-02 14:21:00,11.8600,11.8767,11.8550,11.8700,38809
2018-03-02 14:20:00,11.8850,11.8850,11.8500,11.8500,62861
2018-03-02 14:19:00,11.8950,11.9000,11.8717,11.8850,542222
2018-03-02 14:18:00,11.8750,11.9000,11.8700,11.9000,39385
2018-03-02 14:17:00,11.8800,11.8850,11.8600,11.8799,57851
2018-03-02 14:16:00,11.9100,11.9100,11.8800,11.8800,68593
2018-03-02 14:15:00,11.8900,11.9100,11.8900,11.9015,71398
2018-03-02 14:14:00,11.9000,11.9000,11.8833,11.8900,22465
2018-03-02 14:13:00,11.9070,11.9070,11.9050,11.9050,5400
2018-03-02 14:12:00,11.8900,11.9100,11.8900,11.9020,132408
2018-03-02 14:11:00,11.8650,11.8950,11.8645,11.8900,70877
2018-03-02 14:10:00,11.8750,11.8900,11.8600,11.8650,69807
2018-03-02 14:09:00,11.8700,11.8800,11.8650,11.8750,29953
2018-03-02 14:08:00,11.8570,11.8650,11.8500,11.8600,74001
2018-03-02 14:07:00,11.8600,11.8700,11.8400,11.8550,48641
2018-03-02 14:06:00,11.8650,11.8700,11.8600,11.8600,18048
2018-03-02 14:05:00,11.8600,11.8799,11.8600,11.8670,36804
2018-03-02 14:04:00,11.8550,11.8800,11.8501,11.8700,106267
2018-03-02 14:03:00,11.8350,11.8600,11.8300,11.8600,79546
2018-03-02 14:02:00,11.8550,11.8600,11.8350,11.8350,32135
2018-03-02 14:01:00,11.8400,11.8600,11.8350,11.8600,48851
2018-03-02 14:00:00,11.8250,11.8301,11.8150,11.8300,63926
2018-03-02 13:59:00,11.8100,11.8300,11.8050,11.8300,46165
2018-03-02 13:58:00,11.7999,11.8100,11.7900,11.8050,79425
2018-03-02 13:57:00,11.8150,11.8150,11.7950,11.7950,57877
2018-03-02 13:56:00,11.8250,11.8250,11.8000,11.8150,112747
2018-03-02 13:55:00,11.8390,11.8390,11.8201,11.8250,12189
2018-03-02 13:54:00,11.8400,11.8500,11.8300,11.8350,43506
2018-03-02 13:53:00,11.8400,11.8400,11.8250,11.8399,58124
2018-03-02 13:52:00,11.8500,11.8500,11.8300,11.8420,47973
2018-03-02 13:51:00,11.8550,11.8600,11.8401,11.8453,37826
2018-03-02 13:50:00,11.8500,11.8600,11.8400,11.8550,28341
2018-03-02 13:49:00,11.8350,11.8500,11.8300,11.8500,63285
2018-03-02 13:48:00,11.8210,11.8400,11.8200,11.8400,69474
2018-03-02 13:47:00,11.8250,11.8300,11.8110,11.8300,46518
2018-03-02 13:46:00,11.7900,11.8300,11.7900,11.8200,70466
2018-03-02 13:45:00,11.7800,11.8000,11.7650,11.7900,99713
2018-03-02 13:44:00,11.7900,11.7900,11.7710,11.7800,26642
2018-03-02 13:43:00,11.7810,11.7900,11.7700,11.7850,24459
2018-03-02 13:42:00,11.8000,11.8050,11.7800,11.7850,55803
2018-03-02 13:41:00,11.7800,11.8100,11.7750,11.8050,200753
2018-03-02 13:40:00,11.7690,11.7900,11.7600,11.7700,105939
2018-03-02 13:39:00,11.7600,11.7700,11.7600,11.7610,74655
2018-03-02 13:38:00,11.7650,11.7800,11.7600,11.7600,69160
2018-03-02 13:37:00,11.7550,11.7800,11.7550,11.7650,46823
2018-03-02 13:36:00,11.7690,11.7700,11.7500,11.7500,134694
2018-03-02 13:35:00,11.7800,11.7900,11.7600,11.7650,217741
2018-03-02 13:34:00,11.7900,11.7950,11.7700,11.7750,40590
2018-03-02 13:33:00,11.8162,11.8167,11.7900,11.8000,57682
2018-03-02 13:32:00,11.8200,11.8210,11.8100,11.8150,58993
2018-03-02 13:31:00,11.7900,11.8190,11.7900,11.8150,56411
2018-03-02 13:30:00,11.8150,11.8200,11.7900,11.7900,92954
2018-03-02 13:29:00,11.8200,11.8300,11.8010,11.8150,49538
2018-03-02 13:28:00,11.8000,11.8300,11.8000,11.8200,43409
2018-03-02 13:27:00,11.8100,11.8200,11.8000,11.8001,87387
2018-03-02 13:26:00,11.8050,11.8290,11.8000,11.8190,46510
2018-03-02 13:25:00,11.8390,11.8390,11.8010,11.8100,133070
2018-03-02 13:24:00,11.8400,11.8500,11.8250,11.8350,58649
2018-03-02 13:23:00,11.8300,11.8450,11.8294,11.8450,28340
2018-03-02 13:22:00,11.8450,11.8550,11.8216,11.8300,64664
2018-03-02 13:21:00,11.8400,11.8600,11.8400,11.8450,130642
2018-03-02 13:20:00,11.8207,11.8400,11.8150,11.8400,15378
2018-03-02 13:19:00,11.8400,11.8450,11.8200,11.8300,31400
2018-03-02 13:18:00,11.8370,11.8400,11.8200,11.8400,73000
2018-03-02 13:17:00,11.8200,11.8381,11.8000,11.8350,47591
2018-03-02 13:16:00,11.7812,11.8200,11.7800,11.8200,92517
2018-03-02 13:15:00,11.8000,11.8050,11.7800,11.7801,71049
2018-03-02 13:14:00,11.8199,11.8199,11.7900,11.8000,127254
2018-03-02 13:13:00,11.8400,11.8400,11.8100,11.8150,253940
2018-03-02 13:12:00,11.8250,11.8400,11.8200,11.8300,40071
2018-03-02 13:11:00,11.8300,11.8390,11.8100,11.8200,73390
2018-03-02 13:10:00,11.8350,11.8477,11.8208,11.8350,33160
2018-03-02 13:09:00,11.8700,11.8700,11.8310,11.8350,79594
2018-03-02 13:08:00,11.8800,11.8800,11.8600,11.8669,64489
2018-03-02 13:07:00,11.8550,11.8750,11.8520,11.8750,19576
2018-03-02 13:06:00,11.8650,11.8700,11.8500,11.8600,68842
2018-03-02 13:05:00,11.8550,11.8700,11.8424,11.8670,59510
2018-03-02 13:04:00,11.8606,11.8699,11.8400,11.8551,119544
2018-03-02 13:03:00,11.8900,11.8900,11.8600,11.8600,103298
2018-03-02 13:02:00,11.9050,11.9100,11.8900,11.8900,129117
2018-03-02 13:01:00,11.8950,11.9200,11.8900,11.9100,88815
2018-03-02 13:00:00,11.9100,11.9200,11.9000,11.9000,237198
2018-03-02 12:59:00,11.8800,11.9100,11.8710,11.9100,138892
2018-03-02 12:58:00,11.8700,11.8800,11.8500,11.8800,37775
2018-03-02 12:57:00,11.8800,11.8900,11.8650,11.8699,74864
